feature,pdp_e,pdp_p,diff,abs_diff
veil-color_n,0.483320191168603,0.483320191168603,0.0,0.0
cap-surface_g,0.483320191168603,0.483320191168603,0.0,0.0
spore-print-color_b,0.483320191168603,0.483320191168603,0.0,0.0
gill-color_g,0.483320191168603,0.483320191168603,0.0,0.0
gill-attachment_a,0.483320191168603,0.483320191168603,0.0,0.0
cap-color_y,0.483320191168603,0.483320191168603,0.0,0.0
stalk-color-above-ring_c,0.483320191168603,0.483320191168603,0.0,0.0
gill-color_e,0.483320191168603,0.483320191168603,0.0,0.0
ring-number_n,0.483320191168603,0.483320191168603,0.0,0.0
veil-color_y,0.483320191168603,0.483320191168603,0.0,0.0
cap-shape_c,0.483320191168603,0.483320191168603,0.0,0.0
odor_m,0.483320191168603,0.483320191168603,0.0,0.0
